app_name,repo,electron_version,date_accessed,access_type,vulnerable_cve_2023_4863,vulnerable_cve_2023_5217
KeyCombiner,https://github.com/tkainrad/keycombiner,,,programmatic,unknown,unknown
Kinesis CI,https://github.com/Kinesis-CI/education-and-innovation,,,programmatic,unknown,unknown
Kitematic,,,,programmatic,unknown,unknown
Knowte,https://github.com/digimezzo/knowte-electron,17.3.1,2023-10-02 22:11:58-0700,programmatic,vulnerable,vulnerable
Kobiton,,,,programmatic,unknown,unknown
Kube Dev Dashboard,https://github.com/prsh9/KubeCtl-Dashboard,^22.0.0,2023-10-02 22:11:59-0700,programmatic,vulnerable,vulnerable
Kube Forwarder,https://github.com/pixel-point/kube-forwarder,12.0.2,2023-10-02 22:12:00-0700,programmatic,vulnerable,vulnerable
LaraDumps,https://github.com/laradumps/app,26.2.1,2023-10-02 22:12:01-0700,programmatic,patched,vulnerable
Laravel Kit,https://github.com/tmdh/laravel-kit,21.0.1,2023-10-02 22:12:02-0700,programmatic,vulnerable,vulnerable
Last Hit,https://github.com/last-hit-aab/last-hit,^7.1.1,2023-10-02 22:12:04-0700,programmatic,vulnerable,vulnerable
Laverna,,,,programmatic,unknown,unknown
Lax,,,,programmatic,unknown,unknown
lazyType,,,,programmatic,unknown,unknown
LBRY Desktop,https://github.com/lbryio/lbry-desktop,17.2.0,2023-10-02 22:12:05-0700,programmatic,vulnerable,vulnerable
LeafView,,,,programmatic,unknown,unknown
Lectrote,,,,programmatic,unknown,unknown
Left,https://hundredrabbits.itch.io/left,,,programmatic,unknown,unknown
Lepton,https://github.com/hackjutsu/Lepton,^13.0.0,2023-10-02 22:12:07-0700,programmatic,vulnerable,vulnerable
Light Table,,,,programmatic,unknown,unknown
lightgallery,https://github.com/sachinchoolur/lightgallery-desktop,,2023-10-02 22:12:08-0700,programmatic,unknown,unknown
LightProxy,,,,programmatic,unknown,unknown
linked,https://github.com/lostdesign/linked,17.0.0,2023-10-02 22:12:09-0700,programmatic,vulnerable,vulnerable
Lisk Hub,https://github.com/LiskHQ/lisk-hub,25.2.0,2023-10-02 22:12:10-0700,programmatic,vulnerable,vulnerable
Local by Flywheel,https://github.com/getflywheel/local-components,,2023-10-02 22:12:12-0700,programmatic,unknown,unknown
Local Mock Server,,,,programmatic,unknown,unknown
Lode,,,,programmatic,unknown,unknown
LogSnag,https://github.com/LogSnag/LogSnag,,,programmatic,unknown,unknown
Loom,,,,programmatic,unknown,unknown
Loop Team,,,,programmatic,unknown,unknown
LosslessCut,,,,programmatic,unknown,unknown
LoT - Lot of Things,https://github.com/Jisco/LotOfThings,,,programmatic,unknown,unknown
lsdeer,https://github.com/AlexanderPershin/lsdeer,^8.2.1,2023-10-02 22:12:15-0700,programmatic,vulnerable,vulnerable
luna,,,,programmatic,unknown,unknown
Lyna,,,,programmatic,unknown,unknown
MagicCap,,,,programmatic,unknown,unknown
Mailspring,https://github.com/Foundry376/Mailspring,17.4.0,2023-10-02 22:12:17-0700,programmatic,vulnerable,vulnerable
Manyverse,https://gitlab.com/staltz/manyverse,,,programmatic,unknown,unknown
Markdown C3,,,,programmatic,unknown,unknown
Markdownify,https://github.com/amitmerchant1990/electron-markdownify,^7.2.4,2023-10-02 22:12:19-0700,programmatic,vulnerable,vulnerable
MarkText,,,,programmatic,unknown,unknown
massCode,https://github.com/antonreshetov/massCode,^7.1.6,2023-10-02 22:12:20-0700,programmatic,vulnerable,vulnerable
Master Tour,,,,programmatic,unknown,unknown
Matrix Writer,,,,programmatic,unknown,unknown
Mattermost,https://github.com/mattermost/desktop,26.2.1,2023-10-02 22:12:21-0700,programmatic,patched,vulnerable
MD5 Application,,,,programmatic,unknown,unknown
mdp,https://github.com/ericlink/mdp,^13.1.6,2023-10-02 22:12:23-0700,programmatic,vulnerable,vulnerable
media-dupes,,,,programmatic,unknown,unknown
mediaChips,https://github.com/fupdec/mediaChips,^17.0.0,2023-10-02 22:12:24-0700,programmatic,vulnerable,vulnerable
MeisterTask,,,,programmatic,unknown,unknown
Mélodie,https://github.com/feugy/melodie,,2023-10-02 22:12:25-0700,programmatic,unknown,unknown
Merge Request Notifier,,,,programmatic,unknown,unknown
Metastream,https://github.com/samuelmaddock/metastream,,2023-10-02 22:12:26-0700,programmatic,unknown,unknown
Metronome,,,,programmatic,unknown,unknown
Metronome Wallet,https://github.com/autonomoussoftware/metronome-wallet-desktop,13.1.4,2023-10-02 22:12:27-0700,programmatic,vulnerable,vulnerable
Microsoft Teams,,19.1.8,20231003 07:41:00-0700,manual,patched,patched
Microstockr,,,,programmatic,unknown,unknown
Mikropausen,,,,programmatic,unknown,unknown
Min,https://github.com/minbrowser/min,26.2.1,2023-10-02 22:12:29-0700,programmatic,patched,vulnerable
Mindmapp,https://github.com/Mindmapp/mindmapp,,2023-10-02 22:12:30-0700,programmatic,unknown,unknown
Mingo,https://github.com/mingo-app/mingo,,,programmatic,unknown,unknown
Mini Diary,https://github.com/samuelmeuli/mini-diary,^8.3.0,2023-10-02 22:12:32-0700,programmatic,vulnerable,vulnerable
Minimal Image Viewer,,,,programmatic,unknown,unknown
Missive,,,,programmatic,unknown,unknown
Mixmax,,,,programmatic,unknown,unknown
MJML App,https://github.com/mjmlio/mjml-app,7.2.4,2023-10-02 22:12:34-0700,programmatic,vulnerable,vulnerable
Mobile Locker,,,,programmatic,unknown,unknown
Mobirise,https://github.com/Mobirise/Mobirise,,,programmatic,unknown,unknown
MockingBot,,,,programmatic,unknown,unknown
Mockoon,https://github.com/255kb/mockoon,,2023-10-02 22:12:38-0700,programmatic,unknown,unknown
modelDBA,,,,programmatic,unknown,unknown
ModernDeck for Twitter,https://github.com/dangeredwolf/ModernDeck,^19.1.9,2023-10-02 22:12:39-0700,programmatic,vulnerable,vulnerable
MonAmi Note,,,,programmatic,unknown,unknown
MongoDB Compass,,24.8.2,,programmatic,patched,unknown
Mongomix,,,,programmatic,unknown,unknown
Mongotron,,,,programmatic,unknown,unknown
Monokle,https://github.com/kubeshop/monokle,26.2.2,2023-10-02 22:12:40-0700,programmatic,patched,vulnerable
